sentence,label
"Mitigating the Impact of Peso Depreciation and High Interest Rates To stabilize the foreign exchange market, the BSP implemented several measures to limit the scope of foreign exchange speculation.",positive
"After declining sharply in January 1998 to almost P46 to US$1.00, the peso recovered steadily to reach an average of about P41 per US dollar today.",positive
"As of end-May 1998, the country's gross international reserves (GIR) rose to $10.9 billion from $8.8 billion as of end-December 1997.",positive
The decline in the peso exchange rate and the inevitable increase in interest rates adversely affected the business sector.,negative
"To stem prolonged corporate stress, the BSP implemented various measures including a restructuring of reserve requirements to reduce intermediation cost and induce a decline in domestic interest rates.",neutral
We are now seeing more normal interest rates.,positive
Prime lending rates trended down to a range of 16.5 percent to 21 percent in June 1998.,positive
This compares with around 26 percent to 31 percent in February 1998.,neutral
Maintaining a Healthy Banking System One of the keys to our better performance amid the regional turmoil is the relative soundness of our banking system.,positive
Early initiatives to raise the required capital of banks have reinforced the resource base of the banking industry.,positive
"As of end-March 1998, the total assets of the banking system reached P2.7 trillion.",neutral
"The number of operating network of banks expanded to 7,316 from 6,569 a year ago.",positive
"The capital adequacy ratio of commercial banks measured as a proportion of net worth to risk assets was recorded at 17 percent in March 1998, an improvement over the 16 percent in December 1997.",positive
This ratio is well above the 10 percent ratio prescribed under the law.,neutral
"On the other hand, the non-performing loan ratio of commercial banks was placed at 7.6 percent as of March 1998.",neutral
This ratio remains quite moderate relative to those of our neighboring countries which hit upwards of 30 percent.,neutral
International Assessment Our performance has been recognized by knowledgeable observers abroad like the World Bank and Bankers Trust.,positive
"""What is clear is that the Philippine situation is vastly different from the Koreas, Thailands and Indonesias of the region. While there are difficulties, these difficulties can be overcome ... "" James Wolfensohn, President - World Bank, February 6, 1998",neutral
"""In our view, the Philippines has outperformed its neighbors in terms of economic and financial stability, despite not being immune to region-wide volatility "" Bankers Trust-Asia, Economic Watch, June 22, 1998",positive
"BSP's Corporate Performance Even with the constraining impact of the regional contagion, BSP's financial condition remained strong.",positive
"In 1997, our resources still grew by 11 percent to reach P683.3 billion.",positive
"As a result of our strong earnings, we are remitting P5.1 billion today to the National Government.",positive
This brings up our total profit remittances to the National Government to P37.6 billion since 1993 on a paid-up equity of only P10.0 billion.,neutral
This represents a nearly four-fold return on equity in just five years.,positive
The Role of BSP Independence The country's economic resilience and the BSP's strong corporate performance owe much to the independence that was granted by the Constitution and the law to the BSP.,positive
It augurs well for our economy that the Estrada administration is just as committed to this principle as the preceding administration.,positive
"To my co-workers at the BSP, this is both an honor and a challenge to do even better.",positive
"In this world it is not what we take up, but what we give up, that makes us rich.",neutral
"However, we must always remember that our independence is only meaningful in the context of cooperation with the rest of government to achieve common objectives for our people.",neutral
"Moving Ahead As we move ahead, the BSP will continue to focus on: (1) continued pursuit of balanced and consistent monetary policies; and (2) prudent management to ensure the stability and strength of the banking system.",neutral
These are familiar goals for the BSP but they have taken on added urgency in the face of a persistent region-wide economic and financial crisis.,neutral
There is absolutely no room for delay or complacency.,neutral
"Concluding Remarks Mr. President, my fellow workers at the BSP.",neutral
Indeed the Asian crisis has put to severe test the economy's inner strength as well as our policy resolve.,negative
But we shall remain steadfast in the pursuit of our goals of sustaining the country's economic recovery and maintaining confidence.,positive
"Outside our shores, we will continue to keep a watchful eye on the critical turn of events that impact on our own economy.",positive
"We will need to be both agile, flexible and balanced in our policy responses and actions.",neutral
"Mr. President, let me assure you and the Filipino people that you can count on the Bangko Sentral to regain and secure the nation's financial stability in support of your administration's goals.",positive
Thank you and good day.,neutral
(Note: Taken from Gov.Singson's speech delivered during the 5th Anniversary program of the BSP held on 3 July 1998 at the BSP Cafetorium),neutral
I feel encouraged by the theme you have adopted for this meeting -- On with the Economic Recovery - A Responsibility Shared with Bangko Sentral ng Pilipinas .,neutral
It suggests a more positive shift in perspective away from the panic and despair prevalent just a few months ago.,positive
I am also happy to note that the spirit of cooperation and partnership is still very much alive.,positive
"Where Are We Now At this point of time, we at the BSP are only too acutely aware that many businesses and individuals are still hurting from the effects of the severe region-wide economic crisis we have been battling since July 1997.",negative
"The housing and real estate sector has been among the hardest hit as a result of credit cutbacks, sharply higher interest rates, and an economic slowdown.",negative
"But we have also made important progress in the sense that we have now stabilized the economy and avoided a deeper economic crisis like the ones being experienced today in Korea, Thailand and Indonesia.",positive
"Let me share with you some comparative economic indicators for 1998 provided by the respected Institute of International Finance (IIF) based in Washington, DC in a special survey they released last April 17, 1998: Real GDP Inflation 1998 Forecast Actual (March) Indonesia - 12.5% 39.1% Malaysia - 2.0% 5.1% Philippines + 2.0% 7.3% South Korea - 5.0% 9.0% Thailand - 7.0% 9.5% In terms of GDP outlook, this year it is true that we are likely to realize a much lower growth rate than last year.",positive
"However, this is hardly surprising considering the depth of the regional financial crisis.",neutral
But I think it is also important to note that we are likely to be the only country among the affected group able to post a positive economic growth at all.,positive
"Officially, we are still hoping to realize a real GNP growth of at least around 3 percent.",positive
"Our inflation performance has also been quite satisfactory, relatively speaking.",positive
"Right now, only Malaysia has a lower inflation rate than ours.",positive
"For this year, with our inflation currently averaging 7.3 percent during the first four months, an average inflation of around 8 percent is still attainable despite all the expected price adjustments and the pass-through effects of the large peso depreciation.",positive
"In the balance of payments, a meaningful but orderly adjustment is now well under way.",neutral
Merchandise export growth has remained very strong at 23.8 percent.,positive
"And this year, we are expected to be again the export leader in Asia.",positive
"Merchandise imports have also contracted, but only moderately in contrast with much sharper contractions in neighboring countries which would significantly hinder their economic growth prospects.",neutral
"These developments have resulted in a small current account surplus of $68 million as of the first two months of 1998, a $525 million improvement from last year's deficit of $457 million.",positive
The last time we had a comparable surplus was in 1993.,neutral
The overall external balance of payments position yielded a surplus of over $1.8 billion as of April 1998.,positive
This enabled us to rebuild our international reserves back to the $11.0 billion level.,positive
I would also consider as one of our most important accomplishments during this period of unprecedented turmoil the preservation of our banking and financial system.,positive
"I realize that many of you, as borrowers who suddenly faced much higher borrowing costs or outright denial of credit access, may not readily share this view.",negative
"However, experience here and elsewhere has taught us that a modern economy's longer term welfare depends on the smooth functioning of the banking and payments system.",positive
"In turn, that depends on the ability of individual banks to make the necessary tough decisions to survive.",neutral
"In many of our neighbors, one key reason why it will not be so easy for them to re-start their economies is because the banking system has been seriously destabilized and crippled by bad assets.",neutral
I am citing all of these seemingly diverse facts not to trivialize or distract from the very real problems faced by your sector and by other affected sectors.,neutral
I only want to emphasize our strong conviction that we need all of these elements plus political stability in place and properly appreciated to restore basic stability and confidence to our financial markets.,neutral
This is ultimately what will pave the way for less exchange rate volatility and lower interest rates on a sustainable basis more than any initiative to administratively fix essentially market-determined prices through some formula no matter how carefully considered.,neutral
Already we have seen our peso recover.,positive
"From as high as P45 to $1 in January, it has now firmed to around the mid-P38 range despite the Indonesian political crisis.",positive
Interest rates have also gone down substantially.,positive
"The 91-day T-bill rate as of last Monday's auction was at 13.88 percent, 620 basis points lower than at the start of 1998.",positive
Average bank lending rates have also eased to less than 20 percent from a peak of over 30 percent at the start of the year.,positive
We have been conducting public hearings all over the country on the issue of whether or not interest rates should be regulated in response to public clamor against high interest rates.,neutral
We will come out with our conclusions very soon but the rapid normalization of interest rates may have already made our deliberations moot and academic.,positive
Recent Policy Initiatives Our latest policy reform initiatives have reinforced the positive trends in our economy.,positive
"You may recall that when the BSP was established in 1993, the statutory reserve requirement on bank deposits was at a high of 23 percent.",positive
You may also recall that one of our first acts as Monetary Board was to slash the statutory reserve requirement by 2 percentage points.,positive
Then we announced a timetable for progressively reducing the reserve requirement.,neutral
"We delivered on this commitment until the reserve requirement was brought down to 15 percent, consisting of a 13 percent statutory reserve requirement and a 2 percent liquidity reserve requirement.",positive
This was the situation immediately before the onset of the financial turmoil in July last year.,neutral
"However, while the financial crisis was raging, one of the drastic measures we were forced to adopt to stabilize and defend the economy was to increase liquidity reserves.",negative
"That did not last long, however.",neutral
"In line with our long-standing commitment to pursue structural reforms in the financial sector, we subsequently reduced in measured steps the reserve requirements as the crisis began to ease.",positive
"And effective tomorrow, May 29, the statutory reserve will be cut by another 2 percent, bringing it down to 8 percent.",positive
This is the lowest level ever as far as I can recall.,neutral
"Together with the prevailing 7 percent liquidity reserve requirement, total reserve requirements will, therefore, again become 15 percent.",neutral
This was exactly the level prevailing before the crisis.,neutral
"However, there is a big underlying difference.",neutral
"Composition-wise, we will actually have a more favorable structure since market-yielding liquidity reserves will now make up almost half of total reserve requirements, considerably easing the burden on banks.",positive
The net effect of all of these initiatives is to significantly reduce bank intermediation cost.,positive
"With these changes, we expect the banks, and they are committed to doing this, to bring their spreads back to pre-crisis levels ranging from 1.5 to 6 percent over the 91-day T-bill rate depending on the credit quality of the borrower.",positive
We will carefully monitor how they deliver on this promise.,neutral
"Based on our weekly survey of what commercial banks are actually offering to their clients, the average lending spread is now down to 4.2 percent over the 91-day T-bill rate as of the first half of May.",positive
This compares with an average 3.6 percent spread which prevailed in January to June 1997 before the crisis.,neutral
"To finally bring down bank lending rates to pre-crisis levels, the focus will now be on lowering underlying market rates as signaled by T-bill rate levels.",neutral
"This will depend on our ability to keep inflation at moderate levels, on the government's fiscal discipline, and on benign developments overseas.",neutral
"As lending rates normalize, this will have a positive effect on overall credit risk.",positive
This will automatically make more funds available to the market and ease credit constraints.,positive
"Currently, our short-term prime lending rates are actually lower than those prevailing in Korea and Indonesia which are at around 19 percent and 45 percent, respectively.",positive
It is about the same as Thailand's at around 16-17 percent.,neutral
"However, Malaysia, with a lower inflation rate, has lower lending rates.",neutral
"Significantly, last Tuesday, reflecting the improving outlook for financial stability, the National Government was again able to float 10-year bonds at an average yield of 18.3 percent.",positive
This is a potentially important benchmark for the housing sector which should ideally depend on long-term funds.,neutral
Concluding Remarks Our economy is once again beginning to settle down following many months of turbulence.,positive
We expect our economy to again hit its normal stride soon on the basis of the many reforms already put in place and additional reforms that are planned under the new government.,positive
"However, I sincerely hope that we will all remember -- regulator, banker, borrower -- the important lessons of the recent crisis especially in avoiding the kind of excesses that in the midst of infectious enthusiasm made us all less sensitive to risk, a little bit more daring, and, consequently, that much more vulnerable to sudden changes in market sentiment.",neutral
"(Note: Taken from Gov.Singson's speech delivered during the 5th Monthly Business Meeting of the Chamber of Real Estate and Builders' Associations, Inc. (CREBA) held on 28 May 1998 at the Grand Ballroom, Hotel Intercontinental, Makati City)",neutral
"For many months now, developments in Asia have been the focus of grave investor concern.",neutral
I sincerely hope that your own findings and experiences during your visit will provide you with a better perspective and understanding of the individual country situations and prospects.,neutral
The Philippine Situation The Philippines continues to weather very well the Asian financial storm as supported by several performance indicators.,neutral
"Merchandise exports continue to grow at a strong pace, reaching 23.8 percent on year-on-year basis during the first quarter of 1998.",positive
"Meanwhile, imports actually declined by 4.3 percent mainly as a result of reduced financing flows and softening domestic demand.",negative
"These twin developments have led to a sharply narrower trade deficit of $1.2 billion during the first three months this year, 57.8 percent lower than last year's $2.9 billion.",positive
"In turn, this contributed to a big turnaround in the overall balance of payments position which registered a surplus of over $1.8 billion during the January-April period.",positive
This compares with a surplus of $0.3 billion over the same period last year.,neutral
We have also observed a nearly two-fold jump in registered direct foreign investments during the first quarter.,positive
"For the whole of 1998, we are now more confident of achieving a lower current account deficit target of $2.2 billion equivalent to 3.2 percent of GNP.",positive
"Last year, the current account deficit reached $4.9 billion.",neutral
The external debt situation is also firmly under control.,positive
"As of end-December 1997, total public and private external debt was recorded at $45.5 billion of which 18.6 percent were short-term debt.",neutral
This proportion is much lower than our neighbors where short-term debt is around 40-50 percent of total.,positive
The corresponding debt service ratio is a low 11.3 percent of exports of goods and services.,positive
"Meanwhile, the inflation situation continues to be manageable despite the pass-through effects of a sharply devalued peso.",neutral
Average inflation was 7.3 percent for the period January-April 1998.,neutral
This is still within our expectations as we are projecting average inflation in 1998 to be between 7.5 to 8.5 percent.,neutral
"Relative to the affected countries in Asia, inflation in the Philippines is actually currently among the lowest.",positive
"In 1999, we are projecting average inflation to decelerate to 7.0 percent.",positive
Prudent monetary policy has played a major role in stabilizing the overall macroeconomic situation.,positive
"We have, in fact, overperformed against our monetary targets as agreed with the IMF under our new precautionary program.",positive
"As of the second week of May, the base money level was more than P17.0 billion below the May ceiling.",positive
"After hitting a low of around P45 in January, the peso has regained stability in recent months with a strong appreciation bias.",positive
"Overcoming the latest disturbances in Indonesia, the peso quickly firmed back to around the P38-P39 level as markets calmed down.",positive
"At current levels, the cumulative depreciation of the peso is now more or less in line with the other regional currencies except the Indonesia rupiah.",positive
Domestic lending rates (based on the short-term prime lending rate) have also eased significantly to around 17-20 percent since peaking at around 30 percent in early February.,positive
This came about as a result of several positive developments: (1) the effective containment of inflationary pressures; (2) continued fiscal discipline; (3) greater currency stability; and (4) containment of banking problems.,positive
We are encouraging a further decline in bank lending rates by lowering bank intermediation cost.,positive
We already reduced the statutory reserve requirement by 3 percentage points and replaced it with an equivalent market-yielding liquidity reserve requirement.,positive
"Last Wednesday, the Monetary Board further reduced the statutory reserve requirement to 8 percent from 10 percent.",positive
This will effectively lower bank intermediation cost by another 50 basis points and restore bank lending spreads to pre-crisis levels of 1.5 percent to 6 percent over the T-bill rate.,positive
"However, the liquidity impact of lower reserves will be sterilized through open market operations to ensure that we are able to comply with our monetary program, keep inflation under control and support the peso.",positive
"For this year, we believe that a real GNP growth of around 3 percent is still achievable.",positive
"This is significantly lower than last year's 5.8 percent but, under the very difficult circumstances prevailing in the region, this is not a small achievement.",neutral
"In contrast, many of our neighbors are likely to register negative growth rates.",neutral
"Banking Sector Developments Let me now turn to the banking sector, a sector that has been subjected to very intense scrutiny as a result of the Asian crisis.",neutral
The Philippine banking sector has not been spared from pressures and some institutions were forced to close.,negative
But these were generally very small banks.,neutral
"The biggest bank affected, Orient Bank, is a relatively small commercial bank accounting for a mere 0.29 percent of total commercial banking system assets.",neutral
"Moreover, there is still a very good chance of rehabilitating these troubled banks without necessarily using government money since stronger banks have expressed an interest in acquiring them.",neutral
"On balance, the banking system remains strong and resilient enough to ride out the crisis.",positive
"To a large extent, the banking system has benefited from our earlier initiative to build up the capital base.",positive
"This year, we expect the ratio of non-performing loans to deteriorate significantly owing to the on-going crisis but we do not expect it to hit double-digit levels as in other neighboring countries.",neutral
"As of February 1998, the non-performing loan ratio of banks had deteriorated to 6.7 percent from 4.7 percent in December 1997.",negative
This will likely peak at around 8 percent this year.,neutral
"However, we expect our banks to be able to generally handle the situation without need of intervention.",positive
"With respect to real estate exposure, this remains relatively stable at 13.6 percent of total loans (including trust department loans) as of end-December 1997.",neutral
"Notwithstanding the manageable banking situation, we have already announced a comprehensive package of new banking reforms designed to further bolster the safety and soundness of the banking system: Minimum bank capitalization is being increased by 20 to 60 percent, depending on the bank category, over the prescribed end-1998 levels in two equal rounds to be completed by end-December 2000.",positive
"A two percent mandatory general loan loss provisioning must be fully met by all banks by October 1, 1999.",neutral
Additional specific loan loss provisioning must be set up against classified loan categories that did not previously have specific provisions.,neutral
This is in line with international practice.,neutral
"Supervision and examination of banks on a consolidated basis, i.e. including their subsidiaries, will now be followed.",positive
"Transparency is being enhanced by requiring publicly listed banks, effective December 1998, to publish quarterly quantitative information on their level of non-performing loans, classified loans and other risk assets, and general and specific loan loss reserves.",positive
"Effective September 1998, banks will also be required to mark-to-market their trading portfolio in line with existing market conventions.",positive
"Transition Period In my view, notwithstanding the generally stable economic situation in the Philippines, one key factor that has made markets hesitate about the Philippines is the forthcoming change of administration.",negative
This uncertainty has now been more or less resolved with the completion of orderly and peaceful elections.,positive
"And from all indications, the incoming administration will continue with market-oriented reforms.",positive
"Therefore, I do not really expect any major problems on this score in the transition period.",positive
"And yes, I have also agreed to continue on as Governor of the Bangko Sentral.",neutral
I am satisfied that the new government will support the policy independence of the BSP as provided for by the Constitution to pursue its mandate of ensuring price stability conducive to a balanced and sustainable economic growth.,positive
Concluding Remarks I sincerely hope that my presentation this morning has been useful in clarifying the issues.,neutral
I think it is high time that investors make the necessary distinctions among the countries on the basis of performance and the hard evidence.,neutral
We have already proven both our ability to sustain sound economic policies and our capacity for orderly democratic change.,positive
"(Note: Taken from Gov. Singson's Keynote Address delivered during the Asia Soceity breakfast meeting held on 22 May 1998 at the Peninsula Hotel, Makati City)",neutral
The current Asian financial crisis has put a very intense spot light on these two critical policy areas which are at the heart of our concerns at the Bangko Sentral ng Pilipinas (BSP).,neutral
"Crisis Management Strategy In managing the severe currency crisis which began in July 1997 as a result of contagion from Thailand, we have concentrated our main efforts in (1) stabilizing the peso and (2) stabilizing the banking system.",neutral
"To achieve these immediate objectives, our basic approach was to reinforce monetary and fiscal discipline and to expedite the implementation of banking reforms.",positive
"However, we also responded immediately to critical flash points in order to maintain overall confidence.",positive
"First , we dealt with intense currency speculation by strategically intervening as well as by re-assessing some foreign exchange regulations and trying out new arrangements: We required prior clearance on the sale of non-deliverable forward contracts to non-residents.",positive
We tightened the net open FX position limits of banks and ensured that these were strictly followed.,positive
"In January 1998, we addressed the panic of corporate borrowers with substantial foreign currency exposures by making available a limited Currency Risk Protection Program (CRPP).",positive
"During this very critical month, we were also able to supply the starved market with significant dollar liquidity without use of our international reserves by providing a controlled amount of non-deliverable forward contracts to principally two foreign banks which supplied dollar liquidity to the market.",positive
"Second , we quickly provided emergency loans on fully secured basis in accordance with law to some banks that faced liquidity problems as a direct result of overall market uncertainty.",positive
"Of course, our crisis management of bank problems was enormously helped by the fact that our banking system, to begin with, was relatively well-capitalized and soundly managed under a competitive and private sector-dominated market environment.",positive
"As of end-December 1997, the overall past due ratio for the commercial banking system of 4.7 percent remained relatively low notwithstanding some deterioration.",positive
"The BSP had also, prior to the crisis, already taken some pre-emptive actions: In December 1996, we required two rounds of capital increases for completion by end-1998.",positive
"On June 5, 1997, we imposed a 20 percent cap on bank loans to the real estate sector.",positive
"On June 6, 1997, we required a 30 percent liquid asset cover against foreign currency deposits.",positive
All of these measures have had the effect of keeping the economy afloat through the financial turmoil and avoiding much deeper and more extensive damage to the real economy.,positive
The relatively moderate depreciation of the peso during the crisis reflects the more stable situation in the Philippines.,positive
"Moreover, since the middle of January 1998, the peso has staged a trend recovery.",positive
"As of April 6, 1998, the peso's cumulative depreciation has been contained to around 31 percent since July 1997.",neutral
One of the most important factors supporting the economy has been the strength of exports of goods and services.,neutral
Merchandise export growth has been sustained at around 23 percent.,positive
"Meanwhile, workers remittances increased by over 33 percent in 1997.",positive
"During the first quarter of 1998, net portfolio flows once again turned positive, rising by 7 percent over pre-crisis levels during the same period last year.",positive
"As a result of greater normality in the foreign exchange market, the Bankers Association of the Philippines (BAP), with our endorsement, recently decided to completely remove the volatility band on peso trading at the Philippine Dealing System (PDS).",positive
Rebounding from the Crisis We are ready to move forward.,neutral
We have just successfully completed our 3-year Extended Fund Facility (EFF) and all the structural reforms that it required despite the currency turmoil.,positive
"Moreover, we have secured IMF endorsement, which includes contingency financing for $1.37 billion, for our new economic program for 1998 to 1999.",positive
"At a time when many neighboring countries are facing zero to negative GNP growth and double-digit inflation, we expect to limit the slow down in our GNP growth to about 3-4 percent this year before we realize a moderate pick-up next year.",positive
We also intend to keep average inflation to a single-digit of around 8 percent.,neutral
"So far, in the first quarter of 1998, average inflation has been contained at 7.0 percent: 6.4 percent in January; 7.4 percent in February; and 7.3 percent in March.",positive
"Likewise, we expect a turnaround in the balance of payments.",positive
This will lead to a lower current account deficit of 3.1 percent of GNP and a build-up in our official reserves back to where it was before the Asian financial crisis that started in July 1997.,positive
"In sum, we expect the economy to sustain a respectable growth with adequate financial stability this year and further progress next year.",positive
"Moreover, within the framework of our overall monetary program , our priority now is to lower bank lending rates to more normal levels to relieve some of the distress in our corporate and banking sectors.",neutral
There are now several initiatives being pursued.,positive
"At present, the average short-term bank lending rate is around 19 percent, lower by over 800 basis points from levels during the first week of February 1998.",positive
